/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                       |
| ('2018-01-22_17-27-07-749215', 8)  |      0.680 |     0.678 |       8 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   335.725 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adam', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_17-27-07-749215', 10) |      0.677 |     0.686 |      10 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   400.873 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adam', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_17-02-25-073429', 4)  |      0.677 |     0.686 |      18 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |          256 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   573.298 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '256', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_17-46-30-145146', 6)  |      0.677 |     0.682 |      17 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adamax      | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   571.183 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adamax', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_16-58-52-620242', 10) |      0.677 |     0.682 |      18 | tensorflow | LSTM_05conc  |              300 |       100 |           8 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   610.446 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '8', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-58-52-616876', 1)  |      0.677 |     0.686 |      14 | tensorflow | LSTM_05conc  |              300 |       100 |         128 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   898.897 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '128', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-58-54-202614', 3)  |      0.677 |     0.711 |       7 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     1.000 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   369.328 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--dropout', '1.0', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-59-02-850042', 9)  |      0.677 |     0.686 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   351.151 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '32', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_17-00-27-933994', 1)  |      0.677 |     0.674 |      20 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |          128 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   684.183 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '128', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_18-50-20-164471', 3)  |      0.677 |     0.678 |       8 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   273.068 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_18-48-41-820452', 2)  |      0.677 |     0.715 |       8 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   271.971 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_17-00-24-451343', 9)  |      0.677 |     0.657 |      15 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           64 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   455.799 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '64', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-58-52-785922', 5)  |      0.677 |     0.698 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |         188 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   977.827 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '188', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-58-54-202486', 1)  |      0.677 |     0.678 |      15 | tensorflow | LSTM_05conc  |              300 |       175 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1053.607 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--padding', '175', '--emb_dir', '../embeddings/']                         |
